2929
36,394,112
46,358,242
52,428,396
54,288,252
130,134,410
188,182,446
188,474,228
256,462,128
290,468,188
298,116,328
316,590,350
318,166,48
376,278,122
388,384,300
592,510,542
18036,197394,56112
23046,179358,121242
26052,214428,198396
27054,144288,126252
36036,394394,112112
46046,358358,242242
52052,428428,396396
54036,591394,168112
54054,288288,252252
65130,67134,205410
69046,537358,363242
72036,788394,224112
78052,642428,594396
81054,432288,378252
90036,985394,280112
92046,716358,484242
94188,91182,223446
94188,237474,114228
104052,856428,792396
108036,1182394,336112
108054,576288,504252
115046,895358,605242
126036,1379394,392112
128256,231462,64128
130052,1070428,990396
130130,134134,410410
135054,720288,630252
138046,1074358,726242
144036,1576394,448112
145290,234468,94188
149298,58116,164328
156052,1284428,1188396
158316,295590,175350
159318,83166,24048
161046,1253358,847242
162036,1773394,504112
162054,864288,756252
180036,1970394,560112
182052,1498428,1386396
184046,1432358,968242
188188,182182,446446
188188,474474,228228
188376,139278,61122
189054,1008288,882252
194388,192384,150300
195130,201134,615410
198036,2167394,616112
207046,1611358,1089242
208052,1712428,1584396
216036,2364394,672112
216054,1152288,1008252
230046,1790358,1210242
234036,2561394,728112
234052,1926428,1782396
243054,1296288,1134252
252036,2758394,784112
253046,1969358,1331242
256256,462462,128128
260052,2140428,1980396
260130,268134,820410
270036,2955394,840112
270054,1440288,1260252
276046,2148358,1452242
282188,273182,669446
282188,711474,342228
286052,2354428,2178396
288036,3152394,896112
290290,468468,188188
296592,255510,271542
297054,1584288,1386252
298298,116116,328328
299046,2327358,1573242
306036,3349394,952112
312052,2568428,2376396
316316,590590,350350
318318,166166,48048
322046,2506358,1694242
324036,3546394,1008112
324054,1728288,1512252
325130,335134,1025410
338052,2782428,2574396
342036,3743394,1064112
345046,2685358,1815242
351054,1872288,1638252
360036,3940394,1120112
364052,2996428,2772396
368046,2864358,1936242
376188,364182,892446
376188,948474,456228
376376,278278,122122
378036,4137394,1176112
378054,2016288,1764252
384256,693462,192128
388388,384384,300300
390052,3210428,2970396
390130,402134,1230410
391046,3043358,2057242
396036,4334394,1232112
405054,2160288,1890252
414036,4531394,1288112
414046,3222358,2178242
416052,3424428,3168396
432036,4728394,1344112
432054,2304288,2016252
435290,702468,282188
437046,3401358,2299242
442052,3638428,3366396
447298,174116,492328
450036,4925394,1400112
455130,469134,1435410
459054,2448288,2142252
460046,3580358,2420242
468036,5122394,1456112
468052,3852428,3564396
470188,455182,1115446
470188,1185474,570228
474316,885590,525350
477318,249166,72048
483046,3759358,2541242
486036,5319394,1512112
486054,2592288,2268252
494052,4066428,3762396
504036,5516394,1568112
506046,3938358,2662242
512256,924462,256128
513054,2736288,2394252
520052,4280428,3960396
520130,536134,1640410
522036,5713394,1624112
529046,4117358,2783242
540036,5910394,1680112
540054,2880288,2520252
546052,4494428,4158396
552046,4296358,2904242
558036,6107394,1736112
564188,546182,1338446
564188,1422474,684228
564376,417278,183122
567054,3024288,2646252
572052,4708428,4356396
575046,4475358,3025242
576036,6304394,1792112
580290,936468,376188
582388,576384,450300
585130,603134,1845410
592592,510510,542542
594036,6501394,1848112
594054,3168288,2772252
596298,232116,656328
598046,4654358,3146242
598052,4922428,4554396
612036,6698394,1904112
621046,4833358,3267242
621054,3312288,2898252
624052,5136428,4752396
630036,6895394,1960112
632316,1180590,700350
636318,332166,96048
640256,1155462,320128
644046,5012358,3388242
648036,7092394,2016112
648054,3456288,3024252
650052,5350428,4950396
650130,670134,2050410
658188,637182,1561446
658188,1659474,798228
666036,7289394,2072112
667046,5191358,3509242
675054,3600288,3150252
676052,5564428,5148396
684036,7486394,2128112
690046,5370358,3630242
702036,7683394,2184112
702052,5778428,5346396
702054,3744288,3276252
713046,5549358,3751242
715130,737134,2255410
720036,7880394,2240112
725290,1170468,470188
728052,5992428,5544396
729054,3888288,3402252
736046,5728358,3872242
738036,8077394,2296112
745298,290116,820328
752188,728182,1784446
752188,1896474,912228
752376,556278,244122
754052,6206428,5742396
756036,8274394,2352112
756054,4032288,3528252
759046,5907358,3993242
768256,1386462,384128
774036,8471394,2408112
776388,768384,600300
780052,6420428,5940396
780130,804134,2460410
782046,6086358,4114242
783054,4176288,3654252
790316,1475590,875350
792036,8668394,2464112
795318,415166,120048
805046,6265358,4235242
806052,6634428,6138396
810036,8865394,2520112
810054,4320288,3780252
828046,6444358,4356242
832052,6848428,6336396
837054,4464288,3906252
845130,871134,2665410
846036,9259394,2632112
846188,819182,2007446
846188,2133474,1026228
851046,6623358,4477242
858052,7062428,6534396
864036,9456394,2688112
864054,4608288,4032252
870290,1404468,564188
874046,6802358,4598242
882036,9653394,2744112
884052,7276428,6732396
888592,765510,813542
891054,4752288,4158252
894298,348116,984328
896256,1617462,448128
897046,6981358,4719242
900036,9850394,2800112
910052,7490428,6930396
910130,938134,2870410
918036,10047394,2856112
918054,4896288,4284252
920046,7160358,4840242
936052,7704428,7128396
940188,910182,2230446
940188,2370474,1140228
940376,695278,305122
943046,7339358,4961242
945054,5040288,4410252
948316,1770590,1050350
954318,498166,144048
962052,7918428,7326396
966046,7518358,5082242
970388,960384,750300
972054,5184288,4536252
975130,1005134,3075410
988052,8132428,7524396
989046,7697358,5203242
999054,5328288,4662252
1012046,7876358,5324242
1014052,8346428,7722396
1015290,1638468,658188
1024256,1848462,512128
1026054,5472288,4788252
1034188,1001182,2453446
1034188,2607474,1254228
1035046,8055358,5445242
1040052,8560428,7920396
1040130,1072134,3280410
1043298,406116,1148328
1053054,5616288,4914252
1058046,8234358,5566242
1066052,8774428,8118396
1080054,5760288,5040252
1081046,8413358,5687242
1092052,8988428,8316396
1104046,8592358,5808242
1105130,1139134,3485410
1106316,2065590,1225350
1107054,5904288,5166252
1113318,581166,168048
1118052,9202428,8514396
1127046,8771358,5929242
1128188,1092182,2676446
1128188,2844474,1368228
1128376,834278,366122
1134054,6048288,5292252
1144052,9416428,8712396
1150046,8950358,6050242
1152256,2079462,576128
1160290,1872468,752188
1161054,6192288,5418252
1164388,1152384,900300
1170052,9630428,8910396
1170130,1206134,3690410
1173046,9129358,6171242
1183182,2899446,1222188
1184592,1020510,1084542
1188054,6336288,5544252
1192298,464116,1312328
1196052,9844428,9108396
1215054,6480288,5670252
1222052,10058428,9306396
1222188,1885290,3042468
1222188,3081474,1482228
1235130,1273134,3895410
1242054,6624288,5796252
1248052,10272428,9504396
1264316,2360590,1400350
1269054,6768288,5922252
1272318,664166,192048
1274052,10486428,9702396
1280256,2310462,640128
1296054,6912288,6048252
1300052,10700428,9900396
1300130,1340134,4100410
1305290,2106468,846188
1316188,1274182,3122446
1316188,3318474,1596228
1316376,973278,427122
1323054,7056288,6174252
1326052,10914428,10098396
1341298,522116,1476328
1350054,7200288,6300252
1358388,1344384,1050300
1365130,1407134,4305410
1377054,7344288,6426252
1408256,2541462,704128
1410188,1365182,3345446
1410188,3555474,1710228
1422316,2655590,1575350
1430130,1474134,4510410
1431318,747166,216048
1450290,2340468,940188
1480592,1275510,1355542
1490298,580116,1640328
1495130,1541134,4715410
1504188,1456182,3568446
1504188,3792474,1824228
1504376,1112278,488122
1536256,2772462,768128
1552388,1536384,1200300
1560130,1608134,4920410
1580316,2950590,1750350
1590318,830166,240048
1595290,2574468,1034188
1598188,1547182,3791446
1598188,4029474,1938228
1625130,1675134,5125410
1639298,638116,1804328
1664256,3003462,832128
1690130,1742134,5330410
1692188,1638182,4014446
1692188,4266474,2052228
1692376,1251278,549122
1738316,3245590,1925350
1740290,2808468,1128188
1746388,1728384,1350300
1749318,913166,264048
1755130,1809134,5535410
1776592,1530510,1626542
1786188,1729182,4237446
1786188,4503474,2166228
1788298,696116,1968328
1792256,3234462,896128
1820130,1876134,5740410
1880188,1820182,4460446
1880188,4740474,2280228
1880376,1390278,610122
1885130,1943134,5945410
1896316,3540590,2100350
1908318,996166,288048
1937298,754116,2132328
1940388,1920384,1500300
1950130,2010134,6150410
1974188,1911182,4683446
1974188,4977474,2394228
2015130,2077134,6355410
2030290,3276468,1316188
2048256,3696462,1024128
2054316,3835590,2275350
2067318,1079166,312048
2068188,2002182,4906446
2068188,3190290,5148468
2068376,1529278,671122
2072592,1785510,1897542
2080130,2144134,6560410
2086298,812116,2296328
2134388,2112384,1650300
2145130,2211134,6765410
2162188,2093182,5129446
2162188,5451474,2622228
2175290,3510468,1410188
2176256,3927462,1088128
2184182,5352446,2256188
2210130,2278134,6970410
2212316,4130590,2450350
2226318,1162166,336048
2235298,870116,2460328
2256188,3480290,5616468
2256188,5688474,2736228
2256376,1668278,732122
2275130,2345134,7175410
2304256,4158462,1152128
2320290,3744468,1504188
2328388,2304384,1800300
2340130,2412134,7380410
2350188,2275182,5575446
2350188,5925474,2850228
2368592,2040510,2168542
2370316,4425590,2625350
2384298,928116,2624328
2385318,1245166,360048
2405130,2479134,7585410
2432256,4389462,1216128
2444188,2366182,5798446
2444188,6162474,2964228
2444376,1807278,793122
2465290,3978468,1598188
2470130,2546134,7790410
2522388,2496384,1950300
2528316,4720590,2800350
2533298,986116,2788328
2535130,2613134,7995410
2538188,2457182,6021446
2538188,6399474,3078228
2544318,1328166,384048
2560256,4620462,1280128
2600130,2680134,8200410
2610290,4212468,1692188
2632188,2548182,6244446
2632188,6636474,3192228
2632376,1946278,854122
2664592,2295510,2439542
2665130,2747134,8405410
2682298,1044116,2952328
2686316,5015590,2975350
2688256,4851462,1344128
2703318,1411166,408048
2716388,2688384,2100300
2726188,2639182,6467446
2726188,6873474,3306228
2730130,2814134,8610410
2755290,4446468,1786188
2795130,2881134,8815410
2806122,8648376,6394278
2816256,5082462,1408128
2820188,2730182,6690446
2820188,7110474,3420228
2820376,2085278,915122
2831298,1102116,3116328
2844316,5310590,3150350
2860130,2948134,9020410
2862318,1494166,432048
2900290,4680468,1880188
2910388,2880384,2250300
2914188,2821182,6913446
2914188,7347474,3534228
2925130,3015134,9225410
2944256,5313462,1472128
2960592,2550510,2710542
2980298,1160116,3280328
2990130,3082134,9430410
3002316,5605590,3325350
3008188,2912182,7136446
3008188,7584474,3648228
3008376,2224278,976122
3021318,1577166,456048
3045290,4914468,1974188
3055130,3149134,9635410
3072256,5544462,1536128
3102188,3003182,7359446
3102188,7821474,3762228
3104388,3072384,2400300
3120130,3216134,9840410
3129298,1218116,3444328
3160316,5900590,3500350
3180318,1660166,480048
3185130,3283134,10045410
3185182,7805446,3290188
3196188,3094182,7582446
3196188,8058474,3876228
3196376,2363278,1037122
3200256,5775462,1600128
3250130,3350134,10250410
3256592,2805510,2981542
3278298,1276116,3608328
3290188,5075290,8190468
3290188,8295474,3990228
3298388,3264384,2550300
3315130,3417134,10455410
3318316,6195590,3675350
3328256,6006462,1664128
3335290,5382468,2162188
3339318,1743166,504048
3384188,3276182,8028446
3384188,8532474,4104228
3384376,2502278,1098122
3427298,1334116,3772328
3456256,6237462,1728128
3465462,960128,1920256
3476316,6490590,3850350
3478188,3367182,8251446
3478188,8769474,4218228
3492388,3456384,2700300
3498318,1826166,528048
3552592,3060510,3252542
3572188,3458182,8474446
3572188,9006474,4332228
3572376,2641278,1159122
3576298,1392116,3936328
3625290,5850468,2350188
3634316,6785590,4025350
3657318,1909166,552048
3666188,3549182,8697446
3666188,9243474,4446228
3686388,3648384,2850300
3712256,6699462,1856128
3725298,1450116,4100328
3760188,3640182,8920446
3760188,9480474,4560228
3760376,2780278,1220122
3770290,6084468,2444188
3792316,7080590,4200350
3816318,1992166,576048
3840256,6930462,1920128
3848592,3315510,3523542
3854188,3731182,9143446
3854188,5945290,9594468
3874298,1508116,4264328
3880388,3840384,3000300
3915290,6318468,2538188
3948188,3822182,9366446
3948188,9954474,4788228
3948376,2919278,1281122
3950316,7375590,4375350
3968256,7161462,1984128
3975318,2075166,600048
4023298,1566116,4428328
4042188,3913182,9589446
4042188,10191474,4902228
4060290,6552468,2632188
4074388,4032384,3150300
4096256,7392462,2048128
4108316,7670590,4550350
